iter	Passed	Remaining
0	66	199861
1	153	229387
2	221	221031
3	286	214315
4	345	206925
5	399	199549
6	463	198166
7	505	188964
8	568	188934
9	627	187694
10	700	190362
11	758	188921
12	824	189552
13	881	187957
14	942	187597
15	996	185917
16	1061	186339
17	1129	187055
18	1195	187614
19	1267	188818
20	1320	187319
21	1395	188896
22	1458	188795
23	1516	188029
24	1577	187741
25	1633	186808
26	1680	185021
27	1739	184602
28	1792	183609
29	1846	182833
30	1907	182684
31	1961	181951
32	2013	181052
33	2081	181536
34	2145	181721
35	2195	180753
36	2249	180181
37	2312	180283
38	2365	179597
39	2428	179723
40	2486	179473
41	2543	179126
42	2601	178901
43	2655	178431
44	2704	177614
45	2754	176912
46	2805	176265
47	2861	176000
48	2920	175864
49	2970	175284
50	3026	174974
51	3081	174670
52	3141	174704
53	3207	174974
54	3260	174583
55	3324	174798
56	3381	174588
57	3434	174223
58	3499	174458
59	3594	176123
60	3649	175856
61	3718	176215
62	3783	176400
63	3837	176052
64	3891	175713
65	3951	175652
66	4011	175587
67	4067	175395
68	4122	175126
69	4181	175027
70	4232	174594
71	4292	174571
72	4354	174581
73	4405	174206
74	4459	173924
75	4519	173878
76	4585	174068
77	4646	174076
78	4708	174082
79	4760	173748
80	4824	173852
81	4892	174108
82	4951	174009
83	5014	174083
84	5073	174007
85	5131	173871
86	5190	173788
87	5247	173656
88	5313	173802
89	5367	173541
90	5421	173294
91	5485	173400
92	5545	173342
93	5608	173380
94	5657	172993
95	5731	173380
96	5797	173506
97	5858	173469
98	5929	173746
99	5995	173872
100	6056	173843
101	6110	173616
102	6173	173649
103	6234	173605
104	6301	173746
105	6363	173738
106	6413	173401
107	6471	173284
108	6529	173182
109	6609	173654
110	6673	173704
111	6743	173880
112	6798	173704
113	6859	173644
114	6911	173384
115	6983	173633
116	7052	173779
117	7126	174056
118	7184	173933
119	7247	173939
120	7308	173891
121	7368	173835
122	7429	173779
123	7496	173872
124	7549	173629
125	7607	173521
126	7666	173438
127	7720	173222
128	7782	173197
129	7843	173166
130	7931	173706
131	8009	174025
132	8068	173929
133	8133	173964
134	8191	173839
135	8249	173714
136	8312	173707
137	8371	173611
138	8434	173614
139	8499	173624
140	8558	173529
141	8622	173538
142	8683	173479
143	8757	173680
144	8816	173602
145	8877	173541
146	8946	173631
147	9007	173582
148	9060	173364
149	9122	173335
150	9188	173365
151	9258	173481
152	9314	173324
153	9350	172808
154	9419	172887
155	9488	172984
156	9560	173131
157	9617	173001
158	9684	173050
159	9748	173035
160	9808	172956
161	9864	172810
162	9926	172766
163	9994	172830
164	10088	173346
165	10145	173201
166	10199	173031
167	10266	173059
168	10328	173022
169	10387	172921
170	10457	173000
171	10525	173061
172	10594	173118
173	10658	173111
174	10726	173158
175	10791	173155
176	10860	173211
177	10920	173138
178	10993	173253
179	11055	173203
180	11148	173636
181	11218	173694
182	11273	173540
183	11334	173468
184	11397	173419
185	11461	173404
186	11525	173374
187	11593	173404
188	11653	173327
189	11723	173387
190	11794	173457
191	11851	173328
192	11920	173375
193	11992	173453
194	12061	173495
195	12126	173478
196	12208	173704
197	12288	173895
198	12355	173907
199	12393	173504
200	12470	173650
201	12540	173700
202	12606	173700
203	12671	173675
204	12750	173837
205	12814	173810
206	12835	173179
207	12897	173127
208	12971	173222
209	13042	173282
210	13106	173246
211	13171	173223
212	13236	173190
213	13303	173199
214	13371	173213
215	13439	173216
216	13505	173200
217	13574	173230
218	13644	173264
219	13711	173267
220	13792	173434
221	13853	173350
222	13926	173428
223	13999	173497
224	14029	173029
225	14089	172942
226	14159	172968
227	14216	172838
228	14284	172854
229	14307	172310
230	14368	172235
231	14447	172372
232	14507	172284
233	14565	172167
234	14630	172138
235	14660	171701
236	14724	171662
237	14802	171782
238	14865	171731
239	14927	171661
240	14995	171673
241	15060	171640
242	15127	171632
243	15187	171548
244	15242	171401
245	15313	171435
246	15384	171468
247	15460	171563
248	15519	171464
249	15584	171432
250	15657	171483
251	15719	171419
252	15786	171404
253	15847	171323
254	15914	171318
255	15991	171411
256	16012	170902
257	16072	170815
258	16135	170767
259	16199	170722
260	16270	170742
261	16332	170681
262	16404	170715
263	16463	170625
264	16534	170646
265	16627	170902
266	16702	170971
267	16771	170973
268	16841	170978
269	16907	170958
270	16979	170986
271	17044	170948
272	17105	170865
273	17177	170897
274	17247	170902
275	17312	170870
276	17379	170850
277	17444	170806
278	17519	170865
279	17586	170840
280	17644	170733
281	17712	170714
282	17781	170719
283	17844	170650
284	17905	170569
285	17959	170425
286	18030	170438
287	18090	170348
288	18160	170359
289	18225	170316
290	18282	170199
291	18344	170127
292	18407	170067
293	18457	169880
294	18520	169819
295	18589	169814
296	18658	169806
297	18745	169967
298	18815	169967
299	18919	170277
300	18992	170300
301	19052	170211
302	19112	170118
303	19170	170012
304	19238	169989
305	19300	169919
306	19360	169833
307	19426	169793
308	19488	169719
309	19554	169683
310	19616	169606
311	19678	169539
312	19742	169482
313	19806	169429
314	19869	169365
315	19966	169591
316	20031	169542
317	20091	169449
318	20152	169371
319	20215	169302
320	20279	169252
321	20350	169251
322	20410	169161
323	20476	169116
324	20542	169080
325	20597	168951
326	20651	168810
327	20714	168746
