Column,Null_Count,Null_Pct,Zero_Count,Zero_Pct,EmptyStr_Count
comment,8173,100.0,0,0.0,0
map_file,8173,100.0,0,0.0,0
meta_data,8173,100.0,0,0.0,0
direction,8130,99.47,0,0.0,0
resolved_at_address,8099,99.09,0,0.0,0
resolved_at_latitude,8099,99.09,0,0.0,0
resolved_by_id,8099,99.09,0,0.0,0
resolved_datetime,8099,99.09,0,0.0,0
resolved_at_longitude,8099,99.09,0,0.0,0
assigned_to_police_id,8045,98.43,0,0.0,0
citizen_accident_id,8045,98.43,0,0.0,0
route_path,8036,98.32,0,0.0,0
age_of_truck,7897,96.62,5,0.06,0
reason_breakdown,7897,96.62,0,0.0,0
cargo_material,7897,96.62,0,0.0,0
end_datetime,7698,94.19,0,0.0,0
end_address,7486,91.59,0,0.0,0
junction,5663,69.29,0,0.0,0
closed_datetime,5032,61.57,0,0.0,0
closed_by_id,5032,61.57,0,0.0,0
gba_identifier,4729,57.86,0,0.0,0
zone,4729,57.86,0,0.0,0
veh_no,3287,40.22,0,0.0,0
veh_type,3286,40.21,0,0.0,0
description,1360,16.64,0,0.0,0
kgid,259,3.17,0,0.0,0
endlongitude,169,2.07,7315,89.5,0
endlatitude,169,2.07,7315,89.5,0
start_datetime,116,1.42,0,0.0,0
corridor,20,0.24,0,0.0,0
address,3,0.04,0,0.0,0
last_modified_by_id,3,0.04,0,0.0,0
priority,2,0.02,0,0.0,0
created_by_id,2,0.02,0,0.0,0
created_date,2,0.02,0,0.0,0
id,0,0.0,0,0.0,0
longitude,0,0.0,0,0.0,0
latitude,0,0.0,0,0.0,0
authenticated,0,0.0,0,0.0,0
status,0,0.0,0,0.0,0
event_cause,0,0.0,0,0.0,0
requires_road_closure,0,0.0,7497,91.73,0
event_type,0,0.0,0,0.0,0
modified_datetime,0,0.0,0,0.0,0
client_id,0,0.0,0,0.0,0
police_station,0,0.0,0,0.0,0
