feature,importance
event_cause_pot_holes,0.4475905
event_cause_congestion,0.05686679
veh_type_UNKNOWN,0.05309423
event_cause_Debris,0.049211416
event_cause_water_logging,0.040883467
event_cause_construction,0.02980983
zone_South_Zone_1,0.020843877
event_cause_accident,0.016389398
zone_East_Zone_1,0.01585489
event_cause_tree_fall,0.015763681
event_cause_public_event,0.015567003
event_cause_vehicle_breakdown,0.012635541
veh_type_truck,0.012428282
event_cause_road_conditions,0.0122890305
event_cause_others,0.0120771555
veh_type_bmtc_bus,0.011543433
veh_type_heavy_vehicle,0.011500847
zone_West_Zone_1,0.011391324
veh_type_private_car,0.010891305
zone_East_Zone_2,0.010609615
veh_type_private_bus,0.010147555
zone_West_Zone_2,0.00987482
event_cause_protest,0.009083053
veh_type_others,0.008576831
zone_North_Zone_1,0.008551427
veh_type_auto,0.008520987
zone_South_Zone_2,0.008298801
zone_North_Zone_2,0.008157507
veh_type_ksrtc_bus,0.00807683
zone_Central_Zone_2,0.007981426
event_cause_procession,0.007889879
S_risk,0.007704442
priority,0.007623168
zone_Central_Zone_1,0.007598814
veh_type_lcv,0.0074406215
veh_type_taxi,0.007232201
event_cause_debris,0.0
event_cause_Fog___Low_Visibility,0.0
event_cause_vip_movement,0.0
event_cause_test_demo,0.0
